text,label
maksa suru premium,negatif
ini gratis seru bisa menikmati lagu,positif
aplikasi yang bagus saya suka dengan musik musik di spotify,positif
baguss bangett pokok nyaa,positif
sayah suka sama lagu lagunya,positif
top lah,positif
sangat berguna,positif
kebanyakan iklan boikott,negatif
bagus banget sumpah,positif
top markotop,positif
lagu nya seru udah sih gitu aja ohh iya trus klo keluar apk gk berhenti lagu nya,netral
bagus cocok buat dengar musik,positif
kenapa nge bug woyy,negatif
kenapa spotify gua gabisa di buka woy admin dari kemarin gabisa dibuka,positif
aplikasi nya enak buat nge game tapi gak suka baru denger 2 lagu udah iklan,negatif
enak didengar dan bisa mendengar kan musik sambil main game dan jadi lebih seru,positif
tau moodku dan so ini aplikasi yg paling the bestt,positif
enak di pakai,positif
baguss,positif
saya sangat senang dengan iklan 3 4 lapis yang masing masing berdurasi 30 detik sungguh pengalaman yang sangat sempurna saya sempat muak dengan lagu lagu dari berbagai band paling bikin saya muak adalah lagu hindia dan the walter terimakasih atas iklan 4 lapis dengan durasi masing masing 30 detik tersebut,negatif
musik yang banyak,positif
kenapa milih lagu harus premium gasuka banget sama nih aplikasi,negatif
bagus banget apalagi bisa dengerin lagu old bikin nostalgia aku rate 5 bintang yaa semangat teruss,positif
bagus untuk sehari hari,positif
bagus dan enak,positif
ini cocok bisa sambil main game,positif
bisa main sambil main ff,positif
bagus banget setiap hari putar lagi walaupun gak sepuas nya aku tapi aku udah lumayan puas,positif
bagi cocok banget untuk saya,positif
oke kalo playlist di shuffle la ini ganti lagu disuruh bayar ke premium dulu ganti lagu doang lo bayar sampah lah,negatif
aplikasi ini bagus,positif
baguss bangett,positif
baguss bgt aplikasinya,positif
gratis,positif
aahh enaknya spotify premium no iklan iklan dengerinnya nyaman suara musik pas premium kerasa banget kualitasnya daripada yg gratisan,positif
bagus tapi terlalu banyak iklan dan harus premium dulu,negatif
baguss,positif
kenapa tidak bisa pilih lagu sendiri yh,negatif
woi ini gimana sih spotify padahal akun gw ga ada apa apa tiba tiba pas lagi setel lagu lagunya tiba tiba pindah sendiri terus menerus dan itupun gantinya belum ada 2 detik udah gitu tiba tiba akun spotify gw ada something went wrong mohonlah di fix saya udah cari berbagai cara untuk ngatasi ini sampai hapus ini aplikasi 2x tapi masih aja kejadian,negatif
enakk bangett jyujyurr,positif
gw sebenarnya dengerin lagu apa dengerin iklan serius nanya ini mah developer,negatif
saya suka,positif
kocak kikir,negatif
seru,positif
diupdate malah eror hmm gabisa buka lagu,negatif
gila bagus emg bagus sih tapi gilaa bagus,positif
enak buat menemani setiap hari,positif
suka deh nyari pake lirik setau nya aja langsung ketemu lho judulnya,positif
bagus banget,positif
bagus untuk jalan,positif
sangat bagus yuu download apk spotify music dan podcast nya terimakasih,positif
iklan 4 lapis apa apaan,negatif
baguss,positif
ok,positif
bagus banget ga ada iklan ama sekalii,positif
bisa buat play lagu,positif
enak bgt sih musik nya dan gratis,positif
burik ga bisa masuk celeng,negatif
sangat mudah untuk memilih lagu sesuai apa yg saya mau,netral
bagus aplikasinya,positif
suara jernih dan lagunya enak enak,positif
suara nya jernih banget,positif
bagus mayan jir gw pake asik,positif
sangat menikmati,positif
sayangat bermanfaat saab membuat lagu dari note block di minicraft dan lain,positif
good,positif
apik bolo,positif
baguss aplikasi ini sangat membantu untuk mendengarkan musik jadi saya sangat terhibur saya sangatt sukaa saya bisa mendengarkan berbagai musik di spotif,positif
sukaa sichh,positif
saya tidak bisa login dan sudah berkali di coba pun tidak bisa,negatif
bagus suara jernih banyak pilihan lagu tapi minusnya banyak iklan,negatif
bagus dan menarik,positif
aplikasi yg bgus dan tidak bnyk iklan,positif
eror play list kosong tidak bisa play lagu,negatif
good,positif
min udah banyak loh yang ngasih bintang 1 bukannya improv malah makin banyak iklan nya dari yang 1 iklan 20 detik skrng iklan nya malah ada 4 trs 1 iklan skrng bisa sampe 30 detik wah hebat ya apk ini,negatif
mantap pokonya,positif
ok,positif
okelah aplikasinya tapi iklan nya kebanyakan dan durasi nya lama jadi mohon untk dikurangi iklan nya,negatif
joss enk ga ribet,positif
saya suka banget denger lagu yang di spotify,positif
gajelas gua nyalain musik malah mental,negatif
baguss tapi kurangin iklannya,positif
aku sayang padamu,positif
as long as still free hehe,positif
lagu jay mantap mqntap,positif
gua pas masuk kagak bisa ini rusak kah spotify minimal kasih tau ke gimana cara masuk nya,negatif
aplikasinya bagus aku pakai paket gratis suaranya oke tergantung speaker hp sistemnya bagus tapi iklannya bejibun plus kadang dibatasi pemilihan manual lagunya it s ok tapi aku paling ga bisa nunggu iklannya karena ga bisa di skip dan kadang sampai 4 atau 5 aku saran dikurangi aja iklannya maaf banget minta padahal pakai paket gratis terimakasih,netral
suka,positif
sangat suka karena bisa pilih lagu sesuka nya dan bisa pilih murotal juga terimakasih banyak,positif
slalu eror tiap denger lagu slalu next lagu sendiri kadang gabisa diputar hapus cache malah coba lagi login,negatif
boikot spotify,negatif
kenapa sekarang tidak bisa play lagu di folder sendiri,negatif
keren mantap,positif
mantab iklan nya nambah lagi anj,negatif
bagus tapi banyak iklan,negatif
lumayan ngilangin kantuk,positif
enak banget ga nyesel saya download,positif
enak,positif
bisa untuk kerja dan belajar dan lagunya enak banget,positif
sekarang saya sudah langganan spotify premium untuk memutar musik tanpa iklan harganya spotify premium adalah rp79 900 per bulan,positif
knpa spotify saya ga bisa di buka ya pas mau di buka ada yang salah cona lagi padahal koneksi saya full ga ngelag samsek,negatif
kikir betul ni apk anying iklan bisa ampe 4 biji mana dengerin lagu ada batasnya gua gabakal premium gabakal kalah dari elu yh spotipay,negatif
baru putar 4 lagu udah muncul iklan habis itu 3 lagu lagi iklan lagi jujur jadi kurang nyaman dipakai karena iklannya terlalu sering,negatif
suka aneh lgi enak denger malah tiba tiba rekomendasi untukmu kan udh nyimpen playlist sendiri ngapain ngerekomendasiin udh mah bahasa apa lgi ga ngerti,negatif
keren,positif
iklannya makin lama makin banyak baru denger 1 lagu iklan 5 biji,negatif
jelek banyak iklannya,negatif
suka bgt,positif
apk ya hodie anying iklanya lebih sering muncul kikir banget,negatif
bagus,positif
apk bagus bisa mendengar kan pas main game,positif
gw lagi berak iklan nya podcast horror cok,negatif
baik,positif
apk rusak,negatif
knp spotify saya bayak iklan ny ya min padahal dulu g sebanyak ini deh,negatif
verry good,positif
keren bintang 5 tapi kalo anda melihat komen ini bintang 4 berarti ini kurang keren,negatif
kenapa gbs masuk tiap buka tulisannya coba lagi gbs denger lagu masa hrs premium,negatif
terlalu banyak iklan,negatif
